project,sha,polluter_fullpath,cleaner_fullpath,victim_fullpath,md5,pv_result,pcv_result,can_copy_work,1st_patch_time,minimal_patch_time
Fireworks,ff027cd8d1b8ce5eec6a37d786e7de675d8c0849,fireworks/core/model_test.py::test_Model_inferencing,fireworks/core/model_test.py::test_ModelFromModule,fireworks/core/model_test.py::test_multiple_Models_training_via_junction,f63544b56da6e277150d9948579e1f89,passed,passed,,,
Fireworks,ff027cd8d1b8ce5eec6a37d786e7de675d8c0849,fireworks/core/model_test.py::test_Model_inferencing,fireworks/core/model_test.py::test_Model_get_set_state,fireworks/core/model_test.py::test_multiple_Models_training_via_junction,5f238c90326f9eddb514a2a3e6221663,passed,passed,,,
Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],a6c68fd8549266ef46fb747c7966d42f,passed,passed,,,
Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],594fad5540da6332560ff4b28c165d05,passed,passed,,,
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple,a5deef3ef7fa2e2342d6ff8b14025b0c,failed,passed,True,0.3018468767404556,0.6590338721871376,"
container.initialize()
container.register_class(Example, Example2)
","
container.initialize()
"
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple,10d7864795d1789f4dc4d460342a95da,failed,passed,True,0.5036126226186752,0.7969042211771011,"
container.initialize(class_mapping={Example: Example2})
instance = container.get(Example)
","
container.initialize(class_mapping={Example: Example2})
"
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple,55b9477fcb34ff731d9044115c5e7b1f,failed,passed,True,0.29456495493650436,0.6421606838703156,"
container.initialize()
container.register_class(Example, Example2)
","
container.initialize()
"
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple,e4dd39ffa2664138f7454dcc732f62b2,failed,passed,True,0.5018781498074532,0.7954579368233681,"
container.initialize(class_mapping={Example: Example2})
instance = container.get(Example)
","
container.initialize(class_mapping={Example: Example2})
"
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping,cynergy/tests/test_register_multiple.py::test_register_multiple,5d5dd7765df7cc111eaff0fbc3033476,failed,passed,True,0.29404620826244354,0.6414796933531761,"
container.initialize()
container.register_class(Example, Example2)
","
container.initialize()
"
IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_class_mapping.py::test_class_mapping_from_init,cynergy/tests/test_register_multiple.py::test_register_multiple,7bfc8fde19430c49f93931a1e4811701,failed,passed,True,0.5041180178523064,0.7987027987837791,"
container.initialize(class_mapping={Example: Example2})
instance = container.get(Example)
","
container.initialize(class_mapping={Example: Example2})
"
